reaction_id,reaction_name,subsystem,knockout_flux,baseline_flux,flux_ratio,flux_reduction,impact,status,num_genes,gene_ids,gene_names,equation
GK1,Guanylate kinase (GMP:ATP),Unknown,-2.0198165427535937e-11,8.68247832632316,-2.326313371413784e-12,1.0000000000023264,LETHAL,optimal,1,2987_AT1,GUK1,atp_c + gmp_c <=> adp_c + gdp_c
FRDPtr,"Lipid, flip-flop intracellular transport",Unknown,-2.371537590225766e-13,8.68247832632316,-2.731406288727311e-14,1.0000000000000273,LETHAL,optimal,0,,,frdp_x <=> frdp_r
RTOTAL2CRNCPT1,Carnitine fatty-acyl transferase,Unknown,-5.644754227718528e-14,8.68247832632316,-6.501316807903807e-15,1.0000000000000064,LETHAL,optimal,6,1375_AT2;1374_AT1;126129_AT1;1375_AT4;1375_AT3;1375_AT1,CPT1B;CPT1A;CPT1C;CPT1B;CPT1B;CPT1B,Rtotal2coa_c + crn_c --> Rtotal2crn_c + coa_c
HMGCOAtx,Hydroxymethylglutaryl-CoA reversible peroxisomal transport,Unknown,-4.7854851241411925e-14,8.68247832632316,-5.511658013165166e-15,1.0000000000000056,LETHAL,optimal,0,,,hmgcoa_c <=> hmgcoa_x
C3STKR2r,C-3 sterol keto reductase (zymosterol),Unknown,-3.3228968899574646e-14,8.68247832632316,-3.827129495829837e-15,1.0000000000000038,LETHAL,optimal,1,3295_AT1,HSD17B4,h_r + nadph_r + zym_int2_r --> nadp_r + zymst_r
FADH2tru,"FADH2 transporter, endoplasmic reticulum",Unknown,-2.3927425620705963e-14,8.68247832632316,-2.755829006582583e-15,1.0000000000000027,LETHAL,optimal,0,,,fadh2_c --> fadh2_r
Htx,"H transporter, peroxisome",Unknown,-1.5381916470453835e-14,8.68247832632316,-1.771604361374518e-15,1.0000000000000018,LETHAL,optimal,0,,,h_c <=> h_x
CO2ter,CO2 endoplasmic reticular transport via diffusion,Unknown,-6.8364073202017045e-15,8.68247832632316,-7.873797161664524e-16,1.0000000000000009,LETHAL,optimal,0,,,co2_c <=> co2_r
ACGAMPM,Phosphoacetylglucosamine mutase,Unknown,-5.571793144054961e-15,8.68247832632316,-6.417284253002557e-16,1.0000000000000007,LETHAL,optimal,1,5238_AT1,PGM3,acgam6p_c <=> acgam1p_c
LNS14DMr,Cytochrome P450 lanosterol 14-alpha-demethylase,Unknown,-5.228326159397591e-15,8.68247832632316,-6.021697910315053e-16,1.0000000000000007,LETHAL,optimal,1,1595_AT1,CYP51A1,2.0 h_r + lanost_r + 3.0 nadph_r + 3.0 o2_r --> 44mctr_r + for_r + 4.0 h2o_r + 3.0 nadp_r
SMS,Sphingomyelin synthase (homo sapiens),Unknown,-5.1028385904843055e-15,8.68247832632316,-5.87716824470928e-16,1.0000000000000007,LETHAL,optimal,1,259230_AT1,SGMS1,crm_hs_c + pchol_hs_c --> dag_hs_c + sphmyln_hs_c
FADtru,"FAD transporter, endoplasmic reticulum",Unknown,-3.4182036601008523e-15,8.68247832632316,-3.936898580832262e-16,1.0000000000000004,LETHAL,optimal,0,,,fad_r --> fad_c
UAGDP,UDP-N-acetylglucosamine diphosphorylase,Unknown,-3.4182036601008523e-15,8.68247832632316,-3.936898580832262e-16,1.0000000000000004,LETHAL,optimal,2,6675_AT1;91373_AT1,UAP1;UAP1L1,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c
SERPT,Serine C palmitoyltransferase,Unknown,-4.302434761692137e-15,8.68247832632316,-4.955307229098635e-16,1.0000000000000004,LETHAL,optimal,2,10558_AT1;9517_AT1,SPTLC1;SPTLC2,h_c + pmtcoa_c + ser__L_c --> 3dsphgn_c + co2_c + coa_c
PPItx,"Diphosphate transporter, peroxisome",Unknown,-3.4182036601008523e-15,8.68247832632316,-3.936898580832262e-16,1.0000000000000004,LETHAL,optimal,0,,,ppi_c <=> ppi_x
NADPtru,"NADP transporter, endoplasmic reticulum",Unknown,-2.115430637631963e-15,8.68247832632316,-2.436436416107706e-16,1.0000000000000002,LETHAL,optimal,0,,,nadp_r --> nadp_c
